"","RHOA","BCR","FOXL2","RUNX1","CBL","CDKN1B","MAP3K8","DMBT1","DNMT1","DNMT3A","ECT2","ETS2","ETV6","EZH2","FOXO1","FOXO3","FLT3","FUS","GLI1","HDAC1","IDH1","FOXO4","MXI1","NOTCH1","NOTCH2","NOTCH3","NPM1","PAX5","PHB","PML","PTPN11","RARB","RB1","SKIL","SPI1","TCF3","WT1","ZBTB16","NR4A3","NCOA4","SPOP","KLF4","LITAF","YAP1","RASSF1","ARHGEF12","SIRT1","SUZ12","WHSC1L1","WDR11","SALL4","HOPX","LHX4","MIR106A","MIR107","MIR125B1","MIR146A","MIR150","MIR155","MIR17","MIR194-1","MIR194-2","MIR196A2","MIR20A","MIR203A","MIR210","MIR214","MIR222","MIR223","MIR27A"
"TCGA-BH-A0DP-11A-12R-A089-07",4102060.55097,155446.316178,352.36107614,444489.786827,89829.3007954,683030.94984,97236.8489124,636.589408585,186939.912546,62337.2181268,68285.7268579,401963.776845,332394.579339,14016.651403,354581.155064,573357.73539,16063.8186683,627117.666401,11735.5348327,726722.180167,792703.973816,374518.01492,619186.239727,121648.215416,534103.484079,419202.379395,3284980.05231,220.258707618,524987.920859,104269.814386,565486.793922,217596.419112,230537.227132,108700.856366,78822.3836526,204834.89237,83.299883224,134904.984468,17146.8996872,1624028.22626,273821.430729,453570.527747,1118230.06153,751940.663186,130979.714075,385137.129554,204167.190118,140875.612316,180448.830806,136482.219788,1771.69682682,13743.3848222,7744.25037105,0,0,3893.32295114,0,0,0,0,8061.46869883,0,0,0,0,0,0,9177.11838483,0,39532.2022731
"TCGA-AC-A23H-11A-12R-A157-07",5656986.69612,118180.664417,485.663840852,262205.226917,116120.92176,667140.531736,80944.7939294,10309.6783905,98774.3377329,47379.8612607,54165.7154658,533991.779317,390313.253042,18562.2234317,479236.191493,509214.4957,9197.01813937,388819.327844,17270.4383844,498680.440614,623642.908057,223886.627675,718180.912785,110732.007035,555072.036067,358543.760379,4192496.2145,455.378149715,401694.517825,159526.364796,583955.839877,143315.891936,272244.420145,119786.221644,118285.024628,142192.407706,258.329945982,125226.900806,6450.67959031,2034547.62942,290497.409505,371206.15333,1269553.73835,945504.342862,131359.409779,290488.192285,259071.218398,146385.364774,191505.568152,122490.587254,1395.40155013,16582.4634602,8531.40933302,0,0,48295.9576283,0,0,0,0,0,0,0,0,0,0,0,3162.2353209,0,22703.2279449
"TCGA-BH-A0DL-11A-13R-A115-07",4148337.77919,164968.394419,1639.66442525,267337.577522,122909.921062,672409.370226,145771.563135,4591.53768681,156911.479192,77891.2558983,64037.2968873,486617.253005,392519.006038,34375.1186809,287305.356248,279844.007873,14087.6505948,563530.453025,13581.3230783,487432.297063,558794.514651,369263.000526,355512.199952,234001.501313,464496.293164,650431.785354,2409645.70469,2466.27147549,409531.235889,222716.469352,628798.358048,100587.114617,248148.36966,150464.40279,189848.117533,193518.696974,2180.38891706,35138.0350088,18180.1753378,1558195.08141,242799.702662,364207.659721,1163409.97928,827283.883243,192199.122187,289609.621835,161453.128073,157981.116394,169437.53383,165505.944743,883.323281544,16270.9941008,9716.13102528,0,0,61145.0428355,0,0,0,0,10550.5171951,0,0,0,0,5435.11491871,0,2669.02964758,0,22994.7169638
"TCGA-GI-A2C8-11A-22R-A16F-07",4150642.55009,32097.8948029,200.478341322,53132.4887708,39326.4014812,1110507.80039,65121.611768,217.315244012,51160.6360395,181763.337907,28500.6630658,1183462.82827,43807.9887587,19527.6633276,402141.129799,477546.237913,2671.58237824,318927.566249,12519.4050779,148891.869678,241176.973359,716276.718292,302108.284241,70435.87376,108752.998103,436573.301112,1675252.21972,2443.69629742,774800.471737,60433.9322669,1143092.6277,60266.977967,447910.179079,332826.841369,53137.5159342,93201.754386,0,297261.777587,567197.743064,3376873.99016,333644.979743,789369.798734,242239.326908,714275.099014,92570.0984292,299610.551813,277170.623769,96021.8375989,86883.4381609,47109.5612983,0,67055.7256463,1350.78939167,0,0,6645.40138224,0,0,0,0,0,0,0,0,0,0,0,0,0,89968.5110211
"TCGA-A7-A0CE-11A-21R-A089-07",4488867.65615,172641.522962,1305.66232292,463625.46904,57359.0232273,719450.59582,176892.861031,36051.25919,168768.595446,65668.5417979,71222.5461145,688714.546004,355201.759411,32285.9320754,248129.223493,482387.001333,21062.3204874,652609.466777,5435.7045613,780207.476966,590802.198694,319870.792088,403430.669422,110538.555019,241853.827626,431344.592181,3506487.93959,612.121021529,552239.540971,149301.477403,363567.9508,116669.157369,195555.103496,78917.9504751,282562.933243,223056.749228,1620.49106319,86668.1519795,50568.4285969,1183092.69885,250276.281435,396232.177223,1159144.30312,531175.842947,245945.173917,174415.95139,123996.942408,125557.736616,111725.591459,117617.159236,1250.4693412,25790.3253305,3665.55559749,0,0,10819.9346476,0,0,0,0,0,0,0,0,0,0,0,2833.7924077,0,8138.07050417
"TCGA-BH-A0BZ-11A-61R-A12P-07",5443283.79926,192614.850484,376.585093733,228930.311657,134873.094574,666940.998257,274243.36236,1632.84833656,140583.016196,48680.0042161,73979.0311064,821822.073489,215766.367825,15870.9825158,343418.689576,284880.274642,6603.14209196,281274.640241,19074.7874511,538947.180127,775921.851236,287557.879389,318875.396736,250201.243186,524953.039463,721106.603177,1874928.01983,2118.60890727,436098.457694,192760.184373,894270.4928,51701.0486894,237957.603185,193670.038765,196975.845594,134301.10428,445.132797803,82404.6433465,224605.930548,1904531.24213,250003.156606,2680248.80891,1146693.72148,807008.058914,171301.773177,268697.960026,188916.354709,147036.97015,163204.700756,157488.312465,721.332163453,9634.71080258,4168.53168184,0,0,4160.97999401,0,0,0,0,0,0,0,0,0,0,0,6538.68284773,0,136138.73006
"TCGA-E2-A15K-11A-13R-A12P-07",6274978.70351,182770.130932,341.963056021,192660.764936,64905.3337002,699602.825026,163988.806102,5189.55305901,129219.621424,61700.9887926,28932.9413328,690439.298924,304820.986403,21728.076977,234485.203271,169567.016276,2878.11368429,525041.572864,25269.8415711,578543.547767,380641.279665,461277.904745,340801.999776,285722.939615,170841.641433,798886.32687,2568552.49546,213.758970195,545145.733894,309686.398683,291866.103751,57335.6978125,134854.952099,86714.5936239,499717.357163,297365.139782,121.262610554,18550.6102916,15956.3081526,903722.551919,213416.302504,1462318.51364,1055266.97091,427140.53494,336925.809289,114224.355518,124496.493331,81055.9518418,97677.3905781,83163.872178,859.707417003,33837.7582421,987.466986716,0,0,0,0,8906.30566441,0,0,0,0,0,0,4534.11924734,4534.11924734,0,0,0,211010.934203
"TCGA-BH-A0DG-11A-43R-A12P-07",3653326.44806,135695.480921,2659.43632416,230978.07405,131632.94524,760188.149729,129885.357322,1601.54749527,158250.533097,77043.3116523,98809.5172492,445983.227267,517080.344077,40672.0902077,212651.380437,379748.78954,32097.847919,474365.359321,6919.81662486,664163.716397,469135.327004,323607.41151,618891.322603,97100.5602585,613591.280575,532538.499752,3984336.57368,1177.53123218,430274.606408,115277.767802,638009.598558,134556.274129,255745.983092,173246.211797,85299.5884412,172195.640617,3929.39853188,38704.686539,31739.6326266,1769179.90892,279560.495234,267402.088665,1071777.05913,923542.926084,150952.917719,364172.788366,279765.352936,191460.966778,226360.113063,177648.031482,1034.72548683,17885.5496797,10772.6331122,0,0,11019.2837466,0,2886.002886,0,0,0,0,0,0,0,0,0,2886.002886,0,20720.02072
"TCGA-BH-A1EO-11A-31R-A137-07",8950226.3536,147426.392532,86.5319527131,91523.063962,87865.9486177,659813.558221,210076.055839,125.065629166,82119.4856295,42565.9386183,62518.1792434,891660.343163,129935.083744,17248.0838509,324302.311044,169866.806982,8253.97067197,359830.060993,31521.6925984,340882.703723,957204.528631,320441.652955,263700.275079,170481.443377,324334.488297,499345.998882,2528884.65386,1757.94395095,569081.760962,169213.107052,754066.103022,19185.3533687,249222.221371,214172.153835,477743.87286,149538.514678,5093.68772267,31333.8420428,99542.3072696,2236017.86098,330155.545001,2446598.66064,1187441.8694,615077.998481,259061.582656,153688.545255,215142.334833,138756.213247,138883.806799,135209.150475,435.08888019,22464.2663723,791.265536252,0,0,0,0,0,0,0,5939.14602504,0,0,0,0,0,0,0,0,32360.7315467
"TCGA-BH-A0DD-11A-23R-A12P-07",7832268.54795,227514.477559,0,56896.6363539,163994.704026,575721.255948,264090.701256,0,94855.9275658,48079.6016218,55539.3214709,858408.38166,88300.329202,14655.625344,433378.770713,261044.609712,4234.41628251,228906.039716,31418.1802788,263355.982591,1401528.17815,527174.547109,323516.698947,409924.305429,719245.471538,1225264.83661,1623876.02609,1489.70015725,522493.388684,222330.916116,1751700.27807,16421.7985336,246034.15942,145846.641691,244378.578706,145665.258036,0,133244.280769,79198.2785421,2246672.13678,233974.711699,2704678.84171,759098.442374,1200277.30189,218950.733348,234666.396849,194706.265563,127417.488018,168277.104077,158701.39918,1597.69516496,9623.98565022,3440.86080703,0,0,10532.8572482,0,0,0,0,0,0,0,0,0,0,0,16551.6328186,0,77240.9531534
