"","RHOA","BCR","FOXL2","RUNX1","CBL","CDKN1B","MAP3K8","DMBT1","DNMT1","DNMT3A","ECT2","ETS2","ETV6","EZH2","FOXO1","FOXO3","FLT3","FUS","GLI1","HDAC1","IDH1","FOXO4","MXI1","NOTCH1","NOTCH2","NOTCH3","NPM1","PAX5","PHB","PML","PTPN11","RARB","RB1","SKIL","SPI1","TCF3","WT1","ZBTB16","NR4A3","NCOA4","SPOP","KLF4","LITAF","YAP1","RASSF1","ARHGEF12","SIRT1","SUZ12","WHSC1L1","WDR11","SALL4","HOPX","LHX4","MIR106A","MIR107","MIR125B1","MIR146A","MIR150","MIR155","MIR17","MIR194-1","MIR194-2","MIR196A2","MIR20A","MIR203A","MIR210","MIR214","MIR222","MIR223","MIR27A"
"TCGA-E9-A1N5-11A-41R-A14D-07",3747414.47553,132883.300411,941.807592476,275272.114556,119990.127622,661647.139769,31088.7390865,16249.3891591,275608.680825,98507.9812035,163241.468479,263963.457652,701665.825341,109507.365699,168896.23885,430270.092555,26422.2433013,575739.538105,12089.4804529,504321.56791,455499.277253,189486.318729,390590.525168,173232.637808,528025.443968,810299.185592,3901809.3975,662.307798277,618632.930384,172883.527944,684260.707846,135987.896334,240701.914393,95405.429831,173280.079032,356171.377964,1502.87349412,33952.6292916,25127.3117127,1424476.47964,200876.709497,103050.133796,1298972.76636,712448.685368,241494.183254,248872.685256,186681.589121,196487.108432,134372.577331,179229.278611,2029.48984037,13199.4279421,7705.54309574,0,0,0,0,0,0,0,0,0,0,0,0,6243.75624376,0,0,0,0
"TCGA-BH-A18M-11A-33R-A12D-07",4486497.56862,162176.322059,450.680933823,214547.786165,124373.498125,712270.032185,289139.665898,2876.90338371,148695.079893,69632.7038926,65903.1464409,1126858.3483,229109.051325,32173.0241984,426900.47631,364202.436393,10641.842164,539551.038647,23036.3636818,461985.902464,639264.286355,320236.804883,375623.955239,213428.805615,473130.328095,595602.727756,2320875.65491,1032.96540045,372674.381696,176711.268951,693522.628932,100040.846061,247058.139926,216459.430975,160967.226649,197844.111813,426.172715443,212779.067931,702916.074541,1430017.45328,245412.510062,993073.159024,976017.847183,748217.918921,221426.203679,252451.394802,278275.753362,149595.850245,170061.460022,145005.866146,4100.48254047,13395.6231695,7591.53109036,0,0,19918.7315752,0,0,0,0,0,0,0,0,0,0,0,31300.8639038,0,44944.8302209
"TCGA-BH-A0BJ-11A-23R-A089-07",3786290.67841,167008.095176,138.862972622,281312.736417,115742.463303,574812.333104,188189.637899,6673.28350322,178466.023332,84955.4539902,63569.6708953,458484.04292,696479.849711,46310.8627862,194341.155687,349925.158904,21913.7390013,516974.679851,15705.35596,592314.350783,408924.305353,320219.747129,545740.796202,150627.786604,466001.163074,533386.51388,3829900.92986,217.005941894,471553.61772,138701.454041,532152.188231,116468.02231,203221.08706,120342.627745,72829.1659274,236842.105263,98.4836594066,15892.3136825,73583.7179184,1515983.3789,223229.236935,601450.904826,1431170.26067,705322.245991,188728.918706,282966.685271,219487.162371,155974.424463,152921.218881,147119.047146,1895.14960149,16979.9522276,5747.47451542,0,0,13808.9758343,0,0,0,0,0,0,0,0,0,3682.39355581,0,3616.63652803,0,36351.8338202
"TCGA-BH-A1EU-11A-23R-A137-07",4359377.48813,127854.572375,0,305589.317395,156195.577174,668990.984262,143313.064611,375.590324703,117744.622191,46415.4648257,58779.0866877,382597.426079,430285.406939,22932.156489,324764.131179,403787.98845,11664.8836406,432219.374244,13703.775722,531294.094388,600005.472112,232050.685922,531792.854047,106984.235324,551573.891053,388813.782922,2499852.67028,3638.69878312,312694.44649,131136.431574,777712.01494,100387.887644,256078.019157,235183.772974,102292.614913,168064.377134,884.650821686,90792.9133562,16615.7852265,1766506.28558,262056.798934,422626.879633,1095166.07262,963677.497355,177993.162494,385913.333358,260906.678691,192108.134835,209259.853901,180132.156231,1941.28682528,9542.65869578,9905.35979018,0,0,27564.9153757,0,10829.0738976,0,0,0,0,0,0,0,0,0,0,0,31098.8788854
"TCGA-BH-A18V-11A-52R-A12D-07",5109968.78154,180430.505719,519.421157063,187018.509222,49910.3551873,717239.99152,160449.257922,4629.47322851,76871.202841,60379.1660364,25440.8055826,619579.912289,566584.573652,28927.0413109,213197.193063,205787.966441,12386.42739,633290.013821,18140.4914992,716348.445342,536395.516273,309594.347889,569839.922998,110773.729195,136541.564178,261664.978506,5016861.40401,1352.86216932,725862.05989,165237.745233,184304.451028,65436.6221042,123458.609437,98258.3480656,214811.234628,261579.611909,122.793704121,14742.5288668,121183.325174,858053.444472,212232.038251,722171.15125,1650696.69022,343812.970878,414818.837301,88700.4779809,149151.368664,91490.7436979,105235.41208,86730.5518039,1492.39252908,12833.0903515,749.951253169,0,0,0,0,0,0,0,5941.77064765,0,4173.97111612,0,0,0,0,0,0,64750.0647501
"TCGA-E9-A1RF-11A-32R-A157-07",8705072.19709,134623.014204,0,73319.5162073,205619.350073,620906.753176,181981.787013,0,59725.7399269,33530.8661244,50160.4892252,685577.849264,103763.351151,10324.1797167,911239.652435,407453.322568,2986.54245946,303062.687753,12735.2337766,207941.231312,1127436.04083,241926.968809,318142.29444,141845.631896,765934.12523,407018.917443,1817749.92635,1514.44076057,382109.998242,158066.087309,1544149.46916,40896.3803025,325347.24231,205129.339773,205564.621894,87564.3171533,208.27200699,136519.211802,30661.5053585,3085017.99808,274374.391813,2207694.08898,1204773.89434,1387113.89559,193280.889902,268458.076742,264553.569733,152627.226987,191493.267533,187971.66509,632.816620106,9999.27256673,4240.00708505,0,0,24335.8739986,0,0,0,0,10077.9148794,0,0,0,0,0,0,3824.20877121,0,65894.0588269
"TCGA-AC-A2FF-11A-13R-A17B-07",4756748.67359,135896.396313,3843.46089968,253203.815745,119372.712495,520923.163396,58319.4122314,18832.7993252,216168.101069,95206.376029,112929.772749,367890.45886,486988.987672,57749.4501103,183334.041541,294308.300588,54768.534563,546603.848309,33172.8288774,589469.547098,583966.228889,177618.357567,274457.21545,166725.895321,479331.685094,524569.904201,3894922.1787,6475.09355265,677350.667583,160996.74876,535365.886644,97337.7892739,241267.377579,112619.046766,282435.362018,271064.504987,332.419379491,31627.6380755,6063.15258469,1560310.47463,235645.470575,130035.483993,1369132.34784,603879.211649,186134.833341,231496.452681,157964.24288,152908.781538,142210.265946,160758.361611,1818.04996365,33118.5144452,7940.41906554,0,0,6214.73139931,0,0,0,0,0,0,0,0,0,0,0,0,0,7011.49183512
"TCGA-BH-A0DV-11A-22R-A12P-07",3621791.55618,177839.803777,111.66708914,433195.056155,150408.196025,616238.903238,128538.308667,1331.4982866,171811.136102,44659.5522121,88674.6953695,944164.631574,359710.40849,26147.9527522,610826.260652,979139.341202,11826.3206907,556118.523315,7128.31272838,753385.756357,441026.200075,319496.063706,498674.655265,107214.917776,450334.843495,358569.715648,2991586.08436,209.407199629,481470.228285,105386.443983,648299.726414,168020.729899,305140.285857,200830.949565,56046.8400445,182474.712841,395.979697329,221193.699635,66498.2114096,1680890.36321,296069.76198,709775.458844,1098608.23216,944811.658506,213941.863355,380164.089082,267901.173598,179061.05141,157740.833476,163362.397914,641.680175371,11469.7641472,5696.69811853,0,0,11104.5306485,0,0,0,0,0,0,0,0,0,5922.41634587,0,8724.98836668,0,50112.7536958
"TCGA-BH-A0BC-11A-22R-A089-07",5708756.4628,258019.277329,1574.72652118,387882.493106,92310.2626455,602005.344513,280889.667636,7738.29936419,136641.412233,63628.4495982,57637.7397887,845219.809633,475708.945594,32708.9712175,349787.246354,320073.923988,3202.95360919,633161.010558,20869.50897,588702.271389,420622.796121,357403.71388,456256.825531,162677.904259,378789.659745,519736.744953,3717500.66838,590.611026974,512248.115753,169156.96863,648444.560354,69082.31966,202086.193708,119057.358494,178721.565787,202702.294321,13848.5577565,142735.169167,85409.2858081,1730408.71812,206274.488346,745953.59094,1240874.3221,620148.613873,172988.133663,244731.975759,191167.785866,117380.288068,126672.9961,132671.254323,2940.91132281,23817.5913768,5759.84609691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35334.4404791
"TCGA-E9-A1NG-11A-52R-A14M-07",7091399.80208,153191.292417,626.509128336,176222.477431,131903.942249,534572.814112,112793.08638,1131.87608532,103679.889856,37401.969495,75440.74521,1302734.51701,180234.212454,15862.5474898,575446.1816,309952.956,7909.47061611,361444.451547,11302.4988847,341940.793574,705403.793227,361582.100626,350272.727036,239955.421656,580863.03185,1034185.03396,2091296.39012,832.207252894,387599.552284,162834.298639,1114841.18036,34232.1486528,308834.01366,269479.231385,311138.92248,150214.914786,0,114578.952822,258325.619443,2206003.11187,246487.005186,2832067.69442,1307440.35593,1126965.38627,258151.23215,260173.992879,250577.219835,152898.729801,139353.137235,146799.147768,675.028488312,8662.66244426,2412.17901647,0,0,5191.83842999,0,0,0,0,5375.07978634,0,0,0,0,0,0,0,0,41002.2111907
